date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:37	4707/4707	---M-Z	200	added ('OK')	text/html	etag:W/%225976793b-1263%22	https://game283690.konggames.com/gamez/0028/3690/live/index.html	C:/Users/gvrel/Downloads/0413/bumpbump/game283690.konggames.com/gamez/0028/3690/live/index.html	(from )
19:41:37	122/122	---M-Z	200	added ('OK')	text/plain	etag:%22682cb884-7d%22	https://game283690.konggames.com/robots.txt		(from )
19:41:37	3567/3567	---M--	404	error ('Not%20Found')	text/html	etag:%226835b23b-def%22	https://game283690.konggames.com/gamez/0028/3690/live/Template/anthill.png	C:/Users/gvrel/Downloads/0413/bumpbump/game283690.konggames.com/gamez/0028/3690/live/Template/anthill.png	(from https://game283690.konggames.com/gamez/0028/3690/live/index.html)
19:41:38	69090/69090	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2264f8fb8c-10de2%22	https://cdn1.kongregate.com/javascripts/kongregate_api.js	C:/Users/gvrel/Downloads/0413/bumpbump/cdn1.kongregate.com/javascripts/kongregate_api.js	(from https://game283690.konggames.com/gamez/0028/3690/live/index.html)
19:41:38	149504/149504	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225976793c-24800%22	https://game283690.konggames.com/gamez/0028/3690/live/Build/UnityLoader.js	C:/Users/gvrel/Downloads/0413/bumpbump/game283690.konggames.com/gamez/0028/3690/live/Build/UnityLoader.js	(from https://game283690.konggames.com/gamez/0028/3690/live/index.html)
19:41:38	3567/3567	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226835b23b-def%22	https://game283690.konggames.com/gamez/0028/3690/live/GET	C:/Users/gvrel/Downloads/0413/bumpbump/game283690.konggames.com/gamez/0028/3690/live/GET	(from https://game283690.konggames.com/gamez/0028/3690/live/Build/UnityLoader.js)
19:41:39	3567/3567	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226835b23b-def%22	https://game283690.konggames.com/gamez/0028/3690/live/inflate.js	C:/Users/gvrel/Downloads/0413/bumpbump/game283690.konggames.com/gamez/0028/3690/live/inflate.js	(from https://game283690.konggames.com/gamez/0028/3690/live/Build/UnityLoader.js)
19:41:39	3567/3567	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226835b23b-def%22	https://game283690.konggames.com/gamez/0028/3690/live/Trident/	C:/Users/gvrel/Downloads/0413/bumpbump/game283690.konggames.com/gamez/0028/3690/live/Trident/index.html	(from https://game283690.konggames.com/gamez/0028/3690/live/Build/UnityLoader.js)
19:41:39	3567/3567	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226835b23b-def%22	https://game283690.konggames.com/gamez/0028/3690/live/dictionary.bin.js	C:/Users/gvrel/Downloads/0413/bumpbump/game283690.konggames.com/gamez/0028/3690/live/dictionary.bin.6.delayed	(from https://game283690.konggames.com/gamez/0028/3690/live/Build/UnityLoader.js)
19:41:39	3567/3567	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226835b23b-def%22	https://game283690.konggames.com/gamez/0028/3690/live/decompress.js	C:/Users/gvrel/Downloads/0413/bumpbump/game283690.konggames.com/gamez/0028/3690/live/decompress.js	(from https://game283690.konggames.com/gamez/0028/3690/live/Build/UnityLoader.js)
19:41:39	3567/3567	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226835b23b-def%22	https://game283690.konggames.com/gamez/0028/3690/live/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/gvrel/Downloads/0413/bumpbump/game283690.konggames.com/gamez/0028/3690/live/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from https://game283690.konggames.com/gamez/0028/3690/live/Build/UnityLoader.js)
