date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:16	3543/3543	---MCZ	200	added ('OK')	text/html	etag:W/%222b9e0795aa78047f057d1529a99966a6%22	https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/index.html?gd_zone_config=eyJwYXJlbnRVUkwiOiJodHRwczovL3d3dy5zaWx2ZXJnYW1lcy5jb20vIiwicGFyZW50RG9tYWluIjoic2lsdmVyZ2FtZXMuY29tIiwidG9wRG9tYWluIjoic2lsdmVyZ2FtZXMuY29tIiwiaGFzSW1wcmVzc2lvbiI6dHJ1ZSwibG9hZGVyRW5hYmxlZCI6dHJ1ZSwiaG9zdCI6Imh0bWw1LmdhbWVkaXN0cmlidXRpb24uY29tIiwidmVyc2lvbiI6IjEuNS4xNyJ9	C:/Users/gvrel/Downloads/0413/tallmanrun/html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/indexfbeb.html	(from )
19:19:16	78/78	---M--	200	added ('OK')	text/plain	etag:%229f540670448f7fdc7b5e5baaa3da0904%22	https://html5.gamedistribution.com/robots.txt		(from )
19:19:16	2305/2305	---M--	200	added ('OK')	image/x-icon	etag:%22f04ae07ad1b634a4152d2c8175134c56%22	https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/favicon.ico	C:/Users/gvrel/Downloads/0413/tallmanrun/html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/favicon.ico	(from https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/index.html?gd_zone_config=eyJwYXJlbnRVUkwiOiJodHRwczovL3d3dy5zaWx2ZXJnYW1lcy5jb20vIiwicGFyZW50RG9tYWluIjoic2lsdmVyZ2FtZXMuY29tIiwidG9wRG9tYWluIjoic2lsdmVyZ2FtZXMuY29tIiwiaGFzSW1wcmVzc2lvbiI6dHJ1ZSwibG9hZGVyRW5hYmxlZCI6dHJ1ZSwiaG9zdCI6Imh0bWw1LmdhbWVkaXN0cmlidXRpb24uY29tIiwidmVyc2lvbiI6IjEuNS4xNyJ9)
19:19:16	1395/1395	---MCZ	200	added ('OK')	text/css	etag:W/%22844f0007dcf00c2c9280f734412d3064%22	https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/style.css	C:/Users/gvrel/Downloads/0413/tallmanrun/html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/style.css	(from https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/index.html?gd_zone_config=eyJwYXJlbnRVUkwiOiJodHRwczovL3d3dy5zaWx2ZXJnYW1lcy5jb20vIiwicGFyZW50RG9tYWluIjoic2lsdmVyZ2FtZXMuY29tIiwidG9wRG9tYWluIjoic2lsdmVyZ2FtZXMuY29tIiwiaGFzSW1wcmVzc2lvbiI6dHJ1ZSwibG9hZGVyRW5hYmxlZCI6dHJ1ZSwiaG9zdCI6Imh0bWw1LmdhbWVkaXN0cmlidXRpb24uY29tIiwidmVyc2lvbiI6IjEuNS4xNyJ9)
19:19:16	49/49	---M--	200	added ('OK')	application/xml	date:Wed,%2028%20May%202025%2023:19:14%20GMT	https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/Build	C:/Users/gvrel/Downloads/0413/tallmanrun/html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/Build	(from https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/index.html?gd_zone_config=eyJwYXJlbnRVUkwiOiJodHRwczovL3d3dy5zaWx2ZXJnYW1lcy5jb20vIiwicGFyZW50RG9tYWluIjoic2lsdmVyZ2FtZXMuY29tIiwidG9wRG9tYWluIjoic2lsdmVyZ2FtZXMuY29tIiwiaGFzSW1wcmVzc2lvbiI6dHJ1ZSwibG9hZGVyRW5hYmxlZCI6dHJ1ZSwiaG9zdCI6Imh0bWw1LmdhbWVkaXN0cmlidXRpb24uY29tIiwidmVyc2lvbiI6IjEuNS4xNyJ9)
19:19:17	3042/3042	---M--	200	added ('OK')	image/png	etag:%225f00fa907e7c80061485fc64b62ca192%22	https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/unity-logo-dark.png	C:/Users/gvrel/Downloads/0413/tallmanrun/html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/unity-logo-dark.png	(from https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/style.css)
19:19:17	96/96	---M--	200	added ('OK')	image/png	etag:%22781ae0583f8c2398925ecedfa04b62df%22	https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/progress-bar-empty-dark.png	C:/Users/gvrel/Downloads/0413/tallmanrun/html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/progress-bar-empty-dark.png	(from https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/style.css)
19:19:17	74/74	---M--	200	added ('OK')	image/png	etag:%2299949a10dbeffcdf39821336aa11b3e0%22	https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/progress-bar-full-dark.png	C:/Users/gvrel/Downloads/0413/tallmanrun/html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/progress-bar-full-dark.png	(from https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/style.css)
19:19:17	2947/2947	---M--	200	added ('OK')	image/png	etag:%220c09503c39e9a26675e5f56d82f061b3%22	https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/webgl-logo.png	C:/Users/gvrel/Downloads/0413/tallmanrun/html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/webgl-logo.png	(from https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/style.css)
19:19:18	175/175	---M--	200	added ('OK')	image/png	etag:%22489a5a9723567d8368c9810cde3dc098%22	https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/fullscreen-button.png	C:/Users/gvrel/Downloads/0413/tallmanrun/html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/fullscreen-button.png	(from https://html5.gamedistribution.com/rvvASMiM/7980c23fbbae4af6851e01052fce3cce/TemplateData/style.css)
